zd,zz
胆囊结石伴特指胆囊炎,胆囊炎:4 胆囊结石:4 肾区叩痛:2 老年:2 女性:2 疼痛:2 脑白质区脱髓鞘改变:1 肺呼吸音粗:1 脂肪肝:1 多发结石:1 上腹压痛:1 精神软:1 心影增大:1 腹膨隆:1 高血压:1 肿瘤:1 发热:1 两肺散在渗出:1 肾囊肿:1 腹腔少量积液:1 腹痛:1 轻压痛:1 
结节病,轻压痛:2 肿物:2 女性:2 咳嗽:1 肿块:1 肉芽肿性炎:1 糖尿病:1 痒:1 皮下结节:1 浮肿:1 淋巴结肿大:1 停药:1 脂肪肝:1 
荨麻疹,皮疹:2 发热:2 男性:1 风团:1 寒战:1 畏寒:1 咽充血:1 破溃:1 
纵隔气肿,胸痛:3 病理性杂音:2 精神软:1 男性:1 肿块:1 出血:1 湿罗音:1 皮疹:1 胸闷:1 
结肠多发息肉,男性:2 结肠多发息肉:2 精神软:1 结肠癌:1 胃炎:1 增生:1 腹痛:1 全腹及反跳痛:1 胃窦溃疡:1 高血压:1 糖尿病:1 腹泻:1 老年:1 肺呼吸音粗:1 病理性杂音:1 手术史:1 咽部:1 脉弦:1 
孕1产1孕37+6周LOA平产活婴（核实孕周,胎盘:1 阴道流液:1 孕妇:1 不规则宫缩:1 停经:1 
具有心脏起搏器,起搏器:4 老年:4 浮肿:4 肺呼吸音粗:2 起搏器植入术:2 女性:2 男性:2 左侧肢体:1 脾脏钙化:1 脑改变:1 呼吸困难:1 胸闷:1 脂肪瘤:1 起搏器植入术后:1 加重:1 心房纤颤:1 心悸:1 心律不齐:1 心影增大:1 感染:1 湿罗音:1 前列腺钙化灶:1 手术史:1 失语:1 两侧胸腔少量积液:1 脑梗塞:1 高血压病:1 房室传导阻滞:1 畏寒:1 
脑卒中后遗症,精神软:1 骨折:1 房颤:1 完全性右束支传导阻滞:1 异常Q波:1 心律绝对不齐:1 浮肿:1 活动障碍:1 湿罗音:1 慢性病容:1 心音强弱不等:1 淋巴结肿大:1 病理性杂音:1 老年:1 膀胱结石:1 肺呼吸音粗:1 囊肿:1 肿瘤:1 
宫颈炎性疾病,宫颈病变:4 黏膜慢性炎:4 浮肿:4 肥大:3 淋巴结肿大:3 子宫前位:3 剖宫产:3 心肺听诊阴性:1 回声结节:1 贫血:1 息肉:1 增生:1 肿块:1 出血:1 白细胞减少:1 累:1 加重:1 增大如孕:1 胆囊切除手术:1 子宫肌瘤:1 陈旧性手术疤痕:1 
直肠癌,心肺听诊阴性:1 直肠隆起型中分化腺癌:1 心绞痛:1 舌质淡:1 肿块:1 苔薄黄:1 咽部:1 高血压:1 糖尿病:1 病理性杂音:1 陈旧性手术疤痕:1 早搏:1 肺呼吸音粗:1 冠心病:1 女性:1 脉玄:1 直肠癌术后:1 便血:1 
子宫肿物,阴道流血:1 自然绝经:1 输卵管结扎术:1 破碎子宫内膜:1 酸痛:1 粘液腺癌:1 轻压痛:1 浮肿:1 血迹:1 子宫前位:1 剖宫产:1 
腓骨骨折累及踝关节（左,活动受限:1 骨折:1 左踝肿痛:1 轻度压痛:1 摔伤:1 肿胀:1 
孕3产1孕28周LSA活胎,咳嗽:1 不适:1 女性:1 腹膨隆:1 胎盘:1 腹痛:1 流涕:1 停经:1 孕妇:1 发热:1 不规则宫缩:1 
急性病毒性肝炎（戊肝,男性:1 精神软:1 腹胀:1 剑突下压痛:1 慢支:1 强直性脊柱炎:1 高血压:1 肺气肿征象:1 黄疸:1 浮肿:1 高血压病:1 咽部:1 脉弦:1 
左股骨粗隆间骨折术后,活动受限:1 骨折:1 湿罗音:1 肿胀:1 
脑梗塞后遗症,肾区叩痛:3 左侧肢体:2 精神软:1 口齿不清:1 肿块:1 活动障碍:1 肢体活动不利:1 行走不稳:1 脑梗塞:1 病理性杂音:1 无力:1 肺呼吸音粗:1 脑梗塞后遗症:1 活动不利:1 
左跟骨粉碎性骨折,骨折:2 压痛明显:2 肿胀:2 骨擦感:1 高处坠落:1 摔伤:1 活动不利:1 
血糖过多,男性:1 精神软:1 多饮:1 恶心:1 甲状腺功能亢进:1 腹胀:1 呕吐:1 湿罗音:1 糖尿病:1 肺呼吸音粗:1 口干:1 
胸腺肿瘤,男性:1 精神软:1 恶心:1 视物旋转:1 头晕:1 眩晕:1 呕吐:1 高血压:1 女性:1 
自身免疫性肝硬化,肝炎:1 肿瘤:1 肝硬化:1 肝区叩击痛:1 腹水:1 老年:1 尿黄:1 女性:1 皮肤黄染:1 
甲状腺机能减退症,乏力:3 女性:3 甲状腺功能减退:2 双侧甲状腺Ⅰ°肿大:1 体重增加:1 恶心:1 双下肢水肿:1 消瘦:1 情感障碍:1 皮疹:1 甲状腺功能减退病史:1 浮肿:1 肺呼吸音粗:1 甲状腺弥漫性病变:1 甲减:1 
急性肺炎,咳嗽:2 肺呼吸音粗:2 发热:2 肺炎:1 湿罗音:1 病理性杂音:1 咽充血:1 红肿:1 
脾囊肿,囊肿:1 肾区叩痛:1 浮肿:1 
肺肿物,浮肿:2 女性:2 肾区叩痛:1 头痛:1 便秘:1 肿块:1 头晕:1 体重下降:1 累:1 加重:1 右胸部可见手术疤痕:1 乏力:1 纳差:1 声嘶:1 肺癌术后:1 右下肺叶周围型浸润性黏液型腺癌:1 老年:1 
中孕终止妊娠,停经:1 女性:1 子宫前位:1 增大如孕:1 
腓骨骨折,活动受限:2 骨折:2 骨擦感:2 压痛明显:2 肿胀:2 外伤:1 明确外伤史:1 膝关节:1 疼痛:1 瘀斑:1 撞伤:1 
脑外伤,左侧肢体:1 脉滑:1 口齿不清:1 蛛血:1 腹膨隆:1 肺呼吸音粗:1 肾区叩痛:1 出血:1 苔白腻:1 女性:1 舌质淡:1 车祸:1 肌张力稍增高:1 活动障碍:1 颅脑术后:1 少量渗出:1 胸膜增厚:1 红肿:1 骨折:1 外伤:1 意识不清:1 癫痫:1 心包少量积液:1 脉涩:1 脑挫裂伤:1 头部外伤:1 
双侧腹股沟斜疝,男性:1 右侧腹股沟包块:1 左侧腹股沟包块:1 肿块:1 
上肢深静脉血栓形成,活动轻度受限:1 鼻咽癌:1 疼痛:1 放疗化疗治疗:1 背部疼痛:1 粥样斑块形成:1 肝炎:1 
卵巢良性肿瘤,囊性暗区:2 盆腔包块:2 子宫前位:2 慢性输卵管炎:1 活动度欠佳:1 高血压病:1 息肉:1 增生:1 胆囊炎:1 破碎:1 胆囊息肉:1 腹痛:1 囊肿:1 左附件包块:1 左附件区增厚:1 内稍高回声:1 压痛明显:1 肿瘤:1 平滑肌瘤:1 剖宫产:1 
躯体形式障碍,消极:5 焦虑:5 无兴趣:5 接触合作:5 乐趣减退:5 幻觉:5 妄想:5 不适:4 女性:3 男性:3 胃炎:2 全身不适:2 精神软:1 紧张:1 酸胀不适:1 脂肪肝:1 糖尿病:1 加重:1 酸痛:1 头晕不适:1 担心:1 高血压:1 风湿性关节炎:1 心律失常:1 退变:1 腰椎:1 酸痛不适:1 囊肿:1 胆囊结石:1 消瘦:1 肾囊肿:1 疼痛:1 血压升高:1 腹痛:1 早搏:1 高血压病:1 
痛风性关节炎,痛风:4 男性:3 膝关节:3 加重:3 肿胀:3 红肿热痛:2 湿罗音:2 活动受限:2 病理性杂音:2 皮肤呈红紫色:1 腰部疼痛:1 肾区叩痛:1 局部压痛:1 车祸:1 左膝肿痛:1 疼痛:1 关节畸形:1 高血压:1 腰痛:1 
右侧甲状腺结节,增生:1 肿块:1 全腹及反跳痛:1 糖尿病:1 高血压病:1 女性:1 颈部肿块:1 
肾盂积水伴输尿管狭窄,男性:1 高血压病:1 
贝尔面瘫,男性:1 口角歪斜:1 疼痛:1 面瘫:1 无力:1 女性:1 
颈部恶性肿瘤,肿块:4 颈部肿块:3 男性:2 慢性病容:2 淋巴结肿大:2 鳞状细胞癌:2 癌转移:1 肾区叩痛:1 右侧颈部占位:1 增生:1 放疗后:1 出血:1 湿罗音:1 脓肿:1 老年:1 肺呼吸音粗:1 肺大泡:1 纤维组织增生:1 咽部:1 
风湿性心脏病,加重:3 浮肿:3 精神软:2 心浊音界左大:2 颈静脉充盈:2 心音强弱不等:2 双肺呼吸音稍粗:1 肺呼吸音粗:1 胸闷气促:1 胸闷:1 胸闷心悸:1 老年:1 女性:1 男性:1 心影增大:1 心慌:1 心律绝对不齐:1 ST-T改变:1 感染:1 房颤:1 发热:1 头晕乏力:1 胸腔积液:1 不适:1 气促:1 畏寒:1 
食管内异物,咽部:7 女性:4 男性:3 增生:2 会厌水肿:2 双外耳道干燥:2 胸骨后疼痛:2 :1 隐痛:1 出血:1 疼痛:1 化脓:1 
右臀部脓肿,肿块:1 红肿:1 肾区叩痛:1 右臀部低回声区伴周围软组织增厚:1 
腹腔感染,男性:1 精神软:1 肿块:1 手术瘢痕:1 胃癌术后:1 面色少华:1 全腹及反跳痛:1 乏力:1 纳差:1 高血压病:1 消瘦:1 脉细:1 
右尺桡骨近端骨折,活动受限:1 跌伤:1 骨擦感:1 舌质淡:1 擦挫伤:1 出血:1 骨折:1 麻木:1 脉弦:1 
十二指肠球部溃疡（A1期,男性:1 贫血:1 腹胀:1 剑突下压痛:1 胃病:1 脉沉细:1 病理性杂音:1 黑便:1 肺呼吸音粗:1 咽部:1 
右输尿管结石伴右肾积水（细菌感染,腹痛:3 右肾轻度积水:3 男性:1 双肾液性占位:1 增生:1 右腰呈间歇性钝痛:1 肾囊肿:1 肺气肿:1 糖尿病:1 右输尿管下段结石:1 高血压病:1 病理性杂音:1 多发结石:1 
右手部毁损伤术后右食指近节指骨骨折不愈合,毁损伤:1 右手食中环小指多处陈旧性创口:1 骨折:1 麻木:1 肿胀:1 
心包积液,肺呼吸音粗:2 加重:2 胸闷:2 女性:2 浮肿:2 精神软:1 左室舒张功能欠佳:1 咯血:1 双下肢轻度水肿:1 心包积液:1 肠梗阻:1 腹水:1 脾脏增大:1 心音低:1 咳嗽:1 胸闷气促:1 咳痰:1 糖尿病:1 心悸:1 T波改变:1 背痛:1 男性:1 胆囊炎:1 感染:1 湿罗音:1 高血压:1 病理性杂音:1 房颤:1 发热:1 胆囊结石:1 胸腔积液:1 腹胀:1 两侧胸腔少量积液:1 畏寒:1 
系统性硬化症,焦虑:1 晨僵:1 胃窦粘膜慢性中度浅表性炎:1 病理性杂音:1 肺呼吸音粗:1 女性:1 
乳腺癌术后,肿块:13 女性:10 浸润性微乳头状癌:6 左乳癌:6 左侧乳腺外上象限浸润性导管癌:5 破溃:3 右乳见一手术疤痕:2 保乳术后:2 乳腺癌:2 右侧乳腺上方浸润性导管癌:2 右侧乳腺上象限浸润性导管癌:2 双乳及硬结:2 左乳癌改良根治术:2 肿瘤:2 导管内癌:2 放疗区呈色素沉着改变:2 左侧乳腺浸润性导管癌:2 浮肿:2 淋巴结肿大:1 右侧乳腺外上象限浸润性导管癌:1 乳腺浸润性导管癌:1 放疗后:1 左乳切除:1 
慢性支气管炎,男性:3 精神软:2 胸闷:2 咳嗽:2 湿罗音:2 咳痰:1 室早:1 慢支:1 瘀斑:1 房早:1 肺呼吸音粗:1 肝炎:1 呼吸促:1 桶状胸:1 慢支病史:1 加重:1 皮疹:1 肺气肿征象:1 老年:1 心动过速:1 肋间隙增宽:1 感染:1 病理性杂音:1 胸膜增厚:1 手术史:1 发热:1 骨折:1 胸腔积液:1 两肺纹理增多:1 跌倒:1 早搏:1 乙肝:1 胸闷气急:1 
鼻前庭炎,肿块:2 女性:2 表面可见脓点:1 鼻中隔稍偏曲:1 疼痛:1 轻压痛:1 右面部近鼻翼皮肤:1 肿胀:1 
药物性皮炎,皮疹:4 男性:2 老年:2 浮肿:2 高血压病:2 瘙痒:2 高钾血症:1 频发房早:1 发热:1 淋巴结肿大:1 肾功能不全:1 糖尿病:1 渗血:1 肺结核:1 高血压:1 女性:1 病理性杂音:1 食管炎:1 膀胱癌:1 痛风:1 
左肺恶性肿瘤,咳嗽:2 双肺呼吸音低:2 浮肿:2 咳痰:1 肺占位:1 桶状胸:1 头晕:1 慢性支气管炎病史:1 糖尿病:1 小细胞癌:1 肿瘤:1 胸闷气促:1 
肺恶性肿瘤伴广泛转移,咳痰:2 咳嗽:2 桶状胸:2 加重:2 精神软:2 腹痛:2 双肺语颤减弱:2 鳞状细胞癌:2 浮肿:2 食管炎:2 双肺呼吸音低:2 肿瘤:2 小细胞癌:2 男性:1 老年:1 剑突下压痛:1 不适:1 慢性阻塞性肺疾病:1 吸烟:1 慢性阻塞性肺病:1 
继发性肺结核 双上 涂阴 初治,女性:1 全腹及反跳痛:1 高血压:1 乏力:1 纳差:1 浮肿:1 食管炎:1 房室传导阻滞:1 老年:1 
乙型肝炎后肝硬化失代偿期,肝硬化:7 男性:6 浮肿:6 乙肝:6 脾肿大:5 贫血:4 腹水:4 乏力:4 食管静脉曲张:4 紧张:3 脾大:3 女性:3 门静脉高压:3 老年:3 胆囊炎:3 病理性杂音:3 胸腔积液:3 皮肤巩膜黄染:2 黑便:2 蜘蛛痣:2 肝炎:2 出血:2 纳差:2 静脉曲张:2 破裂:2 腹胀:2 肾囊肿:2 巩膜轻度黄染:2 消化道出血:2 青年:1 精神软:1 周围间隙模糊:1 胃炎:1 自行停药:1 回声结节:1 脾切除:1 瘀斑:1 肝左叶囊肿:1 晕厥:1 陈旧性手术疤痕:1 气急:1 胆囊切除术:1 糖尿病:1 尿黄:1 胃壁增厚:1 低蛋白血症:1 肝区叩击痛:1 全腹及反跳痛:1 脾切除术:1 肝癌:1 腰部疼痛:1 胆囊结石:1 不适:1 肝内低密度灶:1 手术病史:1 呕血:1 
阿耳茨海默氏病(早老性痴呆,精神软:1 肾区叩痛:1 记忆力下降:1 下肢水肿:1 加重:1 脉滑:1 病理性杂音:1 
胃十二指肠溃疡(消化性溃疡,胃炎:1 舌质淡:1 增生:1 疼痛:1 血糖升高:1 十二指肠球部溃疡:1 脉弦:1 
下肢静脉血栓形成,肿胀:2 精神软:1 肾区叩痛:1 记忆力下降:1 疼痛:1 脉滑:1 加重:1 血栓:1 病理性杂音:1 浮肿:1 静脉曲张:1 左侧胫后静脉及肌间静脉栓塞:1 苔白腻:1 女性:1 破溃:1 
鼻出血,出血:9 增生:3 咽部:3 冠心病:2 双外耳道干燥:2 鼻中隔偏曲:2 高血压史:2 男性:1 血迹:1 外伤:1 女性:1 呕吐:1 高血压:1 吸凹:1 咽充血:1 高血压病:1 肺呼吸音粗:1 痛风:1 
斜颈,肿块:1 出血:1 湿罗音:1 皮疹:1 颈部肿块:1 头颈部:1 口干:1 发热:1 破溃:1 肺部呼吸音粗:1 咽充血:1 
脓胸,胸腔积液:2 男性:2 咳嗽:2 加重:2 肾区叩痛:1 呼吸困难:1 干咳:1 疱疹:1 感染性休克:1 肝左叶小囊肿:1 感染:1 气促:1 胸痛:1 呼吸衰竭:1 血压下降:1 气胸:1 前列腺钙化灶:1 老年:1 胸闷气促:1 胸闷:1 左肺呼吸音低:1 
宫颈上皮高级别内瘤变,囊肿:1 出血:1 肥大:1 上皮内瘤变:1 累:1 破碎:1 盆腔少量积液:1 增大如孕:1 子宫肌瘤:1 粘膜慢性炎伴湿疣样变:1 
输尿管囊肿,男性:1 囊肿:1 肾区叩痛:1 胆囊结石:1 增生:1 肾积水:1 排尿中断:1 肝囊肿:1 疼痛:1 浮肿:1 多发结石:1 
风湿性关节炎,肿胀:4 疼痛:3 浮肿:2 活动受限:1 精神软:1 桶状胸:1 肺结核:1 红肿热痛:1 两肺呼吸音低:1 胆总管结石:1 右肺小结节:1 左肩关节压痛:1 左室舒张功能欠佳:1 膝关节:1 女性:1 肺大泡:1 消瘦:1 男性:1 骨质疏松:1 肝内胆管扩张:1 风湿性关节炎:1 关节肿痛:1 少量渗出:1 慢性阻塞性肺病:1 支气管扩张:1 胸腔积液:1 心包少量积液:1 轻压痛:1 
食管异物穿孔,女性:4 浮肿:3 高血压病:3 糖尿病:2 病理性杂音:2 囊肿:1 胃炎:1 胆囊结石:1 胸膜增厚:1 误吞异物:1 紧张:1 疼痛:1 会厌水肿:1 腹痛:1 食管上端梭形高密度影:1 脂肪肝:1 右肺上叶钙化灶:1 
不完全性特指流产,肥大:1 宫腔异常:1 淋巴结肿大:1 浮肿:1 引产:1 子宫前位:1 
先天性狭窄性腱鞘炎,酸痛:1 加重:1 活动明显受限:1 不适:1 肿胀:1 
左股骨颈骨折,活动受限:1 骨折:1 胃癌:1 帕金森:1 摔伤:1 左髋部肿痛:1 肿胀:1 
 精神发育迟缓特指行为缺陷 ,情感障碍:1 性格内向:1 情绪不稳:1 情感高涨:1 精神障碍:1 肝炎:1 加重:1 精神异常:1 自知力无:1 接触被动:1 男性:1 1岁半才会走路:1 发育迟缓:1 行为冲动:1 甲减:1 社会功能受损:1 砸东西:1 毁物:1 冲动:1 从小不聪明:1 发脾气:1 行为异常:1 幻觉:1 妄想:1 
 未特定的非器质性精神病 ,质性精神障碍:3 自语:3 社会功能受损:3 行为乱:3 女性:3 幻觉:3 妄想:3 意志活动减退:2 精神障碍:2 自知力无:2 自言:2 孤僻:2 接触被动:2 行为异常:2 情感障碍:1 易激惹:1 情感高涨:1 懒散:1 少语:1 幻听:1 胡言乱语:1 加重:1 T波改变:1 精神异常:1 打伤:1 意志力减退:1 男性:1 淡漠:1 情感低落:1 拿刀砍人:1 轻度脑萎缩:1 意识障碍:1 意志减退:1 情感平淡:1 躯体疾病:1 精神分裂症:1 
 慢性阻塞性肺病 ,贫血:3 感染:3 咳嗽:3 咳痰:3 呼吸衰竭:3 低热:2 哮鸣音:2 肺结核:2 咯血:2 盗汗:2 中毒:2 肺呼吸音粗:2 肺炎:2 喘息:2 乏力:2 老年:2 慢性支气管炎:2 男性:2 增生:2 肌张力增高:2 低蛋白血症:2 哮喘:2 慢性阻塞性肺病:2 阿尔采末氏病性痴呆:2 支气管扩张:2 胸腔积液:2 精神软:1 桶状胸:1 肺气肿:1 抗感染治疗:1 痴呆:1 胸闷:1 呼吸急促:1 气喘:1 阿尔采末病性痴呆:1 白细胞减少:1 呕吐:1 泌尿道感染:1 心动过缓:1 两肺呼吸音低:1 心功能不全:1 左肺上叶:1 血便:1 消化道出血:1 湿罗音:1 腹泻:1 心脏病:1 心律失常:1 发热:1 高血压:1 骨质疏松:1 抽搐:1 阑尾切除术:1 渗血:1 疱疹:1 腹胀:1 帕金森:1 寒战:1 心脏扩大:1 慢性阻塞性肺疾病:1 冠心病:1 肺部感染:1 白色粘痰:1 精神分裂症:1 高血压病:1 妄想:1 血小板减少:1 
 复发性抑郁障碍，目前为中度抑郁发作伴躯体症状 ,躯体症状:15 抑郁障碍:15 不悦:15 抑郁:14 痛苦:13 幻觉:13 眠差:13 妄想:13 意志活动减退:13 不适:13 抑郁症:12 精神障碍:11 多想:11 心烦:11 情绪低落:11 质性精神障碍:11 社会功能受损:10 器质性疾病:10 女性:10 开心:10 焦虑:10 睡眠障碍:9 兴趣差:9 易疲劳:9 兴奋:8 话多:8 肝炎:7 加重:7 躯体不适:7 兴趣与愉快感丧失:7 头昏:7 乏力:7 消极:7 脑血管病所致抑郁:7 心境低落:7 精力下降:7 忙碌:7 兴趣缺乏:6 接触合作:6 纳差:6 担心:6 早醒:6 抑郁发作:6 冠心病:6 受损:5 男性:5 情感低落:5 心慌:5 无意识:4 食欲下降:4 多虑:4 糖尿病:4 紧张:4 自我评价低:4 高血压:4 悲观:3 多思:3 病情反复:3 感冒:3 胸闷:3 哭泣:3 性格内向:3 少眠:3 兴趣下降:3 高血压病:3 心情差:2 害怕:2 意志减退:2 精神病性症状:2 肿瘤:2 精神异常:2 胆小:2 躁狂发作:2 头痛:2 增生:2 发脾气:2 自行停药:2 血小板减少:2 抑郁症病史:2 做事没兴趣:2 累:2 甲亢:2 肾囊肿:2 心慌不适:1 老年:1 进食:1 腰椎压缩性改变:1 颈动脉斑块:1 痛风:1 恶心:1 眠浅:1 心房纤颤:1 腹部难受:1 话少:1 记忆力下降:1 两侧胸膜:1 少动:1 全身不适:1 腰部疼痛:1 腰椎退行性改变:1 癫痫:1 腔梗:1 头昏乏力:1 跌倒:1 心包少量积液:1 间歇期表现正常:1 受刺激:1 心情不好:1 自卑:1 耳聋:1 皮肤烫伤:1 口干:1 睡眠障碍等:1 纤维瘤:1 跛行:1 胃癌:1 口齿不清:1 脑萎缩:1 肢体抖动:1 全身乏力:1 左肺上叶:1 胆囊炎:1 骨质疏松:1 头晕:1 兴趣减退:1 血压高:1 手术治疗:1 背痛:1 闷闷不乐:1 打嗝:1 精神分裂症:1 耳鸣:1 吵架:1 身上不适:1 胃炎:1 脑积水:1 情绪不稳:1 消瘦:1 少语:1 白细胞减少:1 病情加重:1 意志力减退:1 胸闷不适:1 饮酒史:1 发麻:1 腰椎椎间盘突出:1 心律不齐:1 生病受惊吓后:1 感染:1 胸腔积液:1 腔隙性脑梗死:1 房颤:1 肾功能不全:1 骨折:1 囊肿:1 行为乱:1 动脉粥样硬化:1 脾气差:1 贫血:1 失眠:1 宫外孕:1 T波改变:1 做事情没兴趣:1 肝囊肿:1 肥大:1 懒散:1 饮酒:1 乱讲:1 淋漓不尽:1 肝内胆管结石:1 气躁:1 手术史:1 ST-T改变:1 心脏病:1 慢性起病:1 疼痛:1 胃口差:1 双膝退行性改变:1 坐立不安:1 
中毒性胃肠炎,青年:1 男性:1 恶心:1 不适:1 呕吐:1 咽部:1 
胆管恶性肿瘤,浮肿:3 慢性病容:2 老年:2 胆管癌:2 巩膜轻度黄染:2 陈旧性手术疤痕:1 肾区叩痛:1 畏寒发热:1 糖尿病:1 右肺呼吸音低:1 女性:1 男性:1 胆囊炎:1 肝内胆管扩张:1 手术瘢痕:1 高血压:1 抑郁症:1 肝硬化:1 发热:1 头晕乏力:1 胸腔积液:1 心包少量积液:1 肝内低密度影:1 高血压病:1 
右输尿管中段结石伴右肾中度积水,右肾小结石:1 不适:1 腹胀:1 畏寒发热:1 隐血:1 腰痛:1 
子宫颈炎,有异味:1 上皮内瘤变:1 出血:1 脉滑数:1 宫颈锥切术:1 苔黄腻:1 血迹:1 面色红:1 
更换心脏起搏器,起搏器:3 老年:3 浮肿:3 女性:2 男性:1 头晕:1 阵发性房颤病史:1 高血压病:1 病理性杂音:1 抑郁症病史:1 血脂升高:1 
下肢溃疡,流脓:1 外伤:1 破溃:1 
紧张性头痛,女性:3 头痛:2 头昏:2 肢体抽搐:2 男性:1 左侧肢体:1 麻木:1 不适:1 无意识:1 腰椎:1 头晕:1 疼痛:1 高血压:1 乏力:1 老年:1 胀痛:1 肝炎:1 椎间盘膨出:1 
手术后随诊检查,男性:3 肿块:3 肺癌术后:3 鳞状细胞癌:2 浮肿:2 左肺上叶:1 脉管内见癌栓:1 乳头状腺癌:1 
粘连性肠梗阻,中上腹部压痛:2 腹痛:2 肠梗阻:2 不适:1 胃癌术后:1 加重:1 
睾丸炎,男性:2 双肾小结石:1 肿块:1 腰痛:1 疼痛:1 痛苦:1 高血压病:1 压痛明显:1 肿胀:1 
胃占位性病变,腹痛:2 精神软:1 肾区叩痛:1 加重:1 高血压:1 轻压痛:1 紧张:1 
鼻咽囊肿,男性:1 囊肿:1 会厌水肿:1 肿物:1 咽部:1 
软组织疾患,疼痛:5 活动受限:4 摔伤:3 外伤:3 麻木:2 出血:2 痛苦:2 肿胀:2 骨折:2 青年:1 压痛明显:1 陈旧性手术疤痕:1 挫伤重:1 酸痛:1 满月脸:1 女性:1 男性:1 局部压痛:1 渗血:1 车祸:1 红肿:1 破裂:1 右踝部异物:1 右内踝异物:1 触痛:1 割伤:1 轻压痛:1 椎体:1 
陈旧性膝内侧半月板损伤,手术瘢痕:1 疼痛:1 轻压痛:1 
幕上恶性肿瘤,左侧肢体:1 抑郁:1 颅内肿瘤:1 偏瘫:1 高血压:1 神志淡漠:1 高血压病:1 肿瘤:1 女性:1 
开放性手部损伤,活动受限:2 疼痛:2 挫伤重:1 骨折:1 骨擦感:1 渗血:1 明确外伤史:1 出血:1 割伤:1 瘀斑:1 肿胀:1 痛苦:1 压痛明显:1 麻木:1 手指屈曲受限:1 
